member_id,transaction_type,created_date,price
101,Purchase,2022-02-01,125.99
102,Authorization_only,2022-03-02,150.50
103,Capture,2022-04-03,159.98
104,Void,2022-05-04,112.99
105,Refund,2022-06-05,115.00
106,Verify,2022-07-06,172.97
107,Purchase,2022-08-07,140.00
108,Authorization_only,2022-09-08,108.99
109,Capture,2022-10-09,111.50
110,Void,2022-11-10,119.99
111,Refund,2022-12-11,135.00
112,Verify,2022-01-12,109.99
113,Purchase,2022-02-13,122.50
114,Authorization_only,2022-03-14,117.99
115,Capture,2022-04-15,107.99
116,Void,2022-05-16,114.50
117,Refund,2022-06-17,145.00
118,Verify,2022-07-18,105.99
119,Purchase,2022-08-19,129.50
120,Authorization_only,2022-09-20,114.99
121,Capture,2022-10-21,111.99
122,Void,2022-11-22,155.00
123,Refund,2022-12-23,112.50
124,Verify,2022-01-24,127.99
125,Purchase,2022-02-25,116.99
126,Authorization_only,2022-03-26,198.97
127,Capture,2022-04-27,120.99
128,Void,2022-05-28,150.00
129,Refund,2022-06-29,121.99
130,Verify,2022-07-30,113.99
131,Purchase,2022-08-31,118.50
132,Authorization_only,2022-09-01,160.00
133,Capture,2022-10-02,107.99
134,Void,2022-11-03,124.50
135,Refund,2022-12-04,119.99
136,Verify,2022-01-05,109.99
137,Purchase,2022-02-06,189.97
138,Authorization_only,2022-03-07,112.99
139,Capture,2022-04-08,130.00
140,Void,2022-05-09,108.99
